YUBI Gripper Assy_DYNAMIXEL_PARTS LIST,,,,,,,,,
,,,,,,,,,YUBI Gripper Assy_DYNAMIXEL
No.,PART No.,TYPE,PART NAME,Qty.,MATERIAL,REMARKS,FILE NAME (STL/STEP),,
1,UPPER PLATE,3D-PRINTED ,UPPER PLATE,1,PLA_BLACK,,UPPER PLATE,,
2,CASE,3D-PRINTED ,CASE,1,PLA_BLACK,,CASE,,
3,BRACKET_DYNAMIXEL,3D-PRINTED ,BRACKET_DYNAMIXEL,1,PLA_BLACK,,BRACKET_DYNAMIXEL,,
4,BRACKET_CAMERA,3D-PRINTED ,BRACKET_CAMERA,1,PLA_BLACK,,BRACKET_CAMERA,,
5,FINGER PAD_t30_R,3D-PRINTED ,FINGER PAD_t30_R,1,PLA_RED,for the right finger ,FINGER PAD_t30_R,,
6,FINGER PAD_t30_L,3D-PRINTED ,FINGER PAD_t30_L,1,PLA_RED,for the left finger,FINGER PAD_t30_L,,
7,FINGER PAD_t20,3D-PRINTED ,FINGER PAD_t20,1,PLA_RED,reversible,FINGER PAD_t20,,
8,FLAP_R_AIRoA,3D-PRINTED ,FLAP_R_AIRoA,1,PLA_BLACK,,FLAP_R_AIRoA,,
9,FLAP_L_AIRoA,3D-PRINTED ,FLAP_L_AIRoA,1,PLA_BLACK,,FLAP_L_AIRoA,,
10,FINGER ATTACHMENT_R,MACHINED OR PRINTED,FINGER ATTACHMENT_R,1,A2024 / PLA_BLACK,,FINGER ATTACHMENT_R,,
11,FINGER ATTACHMENT_L,MACHINED OR PRINTED ,FINGER ATTACHMENT_L,1,A2024 / PLA_BLACK,,FINGER ATTACHMENT_L,,
12,GEAR SHAFT,MACHINED ,GEAR SHAFT,1,A2024,,GEAR SHAFT,,
13,SERVO MOTOR (DYNAMIXEL XM430-W350-R),STANDARD,DYNAMIXEL XM430-W350-R,1,N/A,,,,
14,USB CAMERA_ELP-USBFHD01M-L180,STANDARD,CAMERA,1,N/A,,,,
15,GEAKB1.0-30-6-B-8N-QFC17-M3-LL,STANDARD,SPUR GEAR_z30,2,S45C,,,,
16,SSFRHQ8-20-F6-P5-T6-Q5-KC8-A12,STANDARD,SHAFT D8,1,SUS304,,,,
17,MTA05-13ZZ DBS,STANDARD,BEARING,3,SUS,,,,
18,WSSAB10-5-1,STANDARD,WASHER,3,A2017,,,,
19,KEG3-8,STANDARD,PARALLEL KEY,2,S45C,,,,
20,CBSTNR2-5,STANDARD,ULTRA LOW HEAD CAP BOLT,8,SCM435,,,,
21,CBSTNR2.5-6,STANDARD,ULTRA LOW HEAD CAP BOLT,1,SCM435,,,,
22,CBSTNR3-8,STANDARD,ULTRA LOW HEAD CAP BOLT,4,SCM435,,,,
23,CB2-6,STANDARD,CAP BOLT,4,SCM435,,,,
24,CB2.5-4,STANDARD,CAP BOLT,4,SCM435,,,,
25,CB2.5-10,STANDARD,CAP BOLT,4,SCM435,,,,
26,CB2.5-15,STANDARD,CAP BOLT,7,SCM435,,,,
27,SB-304550,STANDARD,INSERT,4,BRASS,,,,
28,SB-264040,STANDARD,INSERT,5,BRASS,,,,
29,SB-203030,STANDARD,INSERT,4,BRASS,,,,
30,JPBPB2-3,STANDARD,"PIN, LOCATING",2,SKS3,,,,
31,JPDPB2-3,STANDARD,"PIN, LOCATING",2,SKS3,,,,
32,HYPER V SHEET,STANDARD,RUBBER SHEET_R,1,HYPER V SHEET,,,,
33,HYPER V SHEET,STANDARD,RUBBER SHEET_L,1,HYPER V SHEET,,,,
34,BRACKET_GRIPPER,MACHINED ,BRACKET_GRIPPER,1,A2024,for attachment to the UR5e,BRACKET_GRIPPER,,
35,TOOL FLANGE,MACHINED ,TOOL FLANGE,1,A2024,for attachment to the UR5e,TOOL FLANGE,,
36,CBE3-8,STANDARD,CAP BOLT,8,SCM435,for attachment to the UR5e,,,
37,CBE6-10,STANDARD,CAP BOLT,4,SCM435,for attachment to the UR5e,,,
38,XDSHC6-P4-L6-B5,STANDARD,"PIN, LOCATING",1,SUS316L,for attachment to the UR5e,,,
